Артикул;Наименование;Единицы измерения;Количество;Тип;Цена;Вес
00544;Свеча-цифра 23046-0;шт.;10;Свечи;;
00008496;"Цифра-свеча ""3""";шт.;10;Свечи;;
00008502;"Цифра-свеча ""8""";шт.;8;Свечи;;
00009078;Веточки из бумаги (свет-зел)  d0,7мм L25см 12328;упак.;8;Атрибутика;;
00009079;Веточки из бумаги (тёмн-зел) d0,7 мм L25см 12329;упак.;5;Атрибутика;;
00001364;лента для цветов бумажная 0,7см 250м БЕЛАЯ  12330;шт.;1;Атрибутика;;
00005907;лента для цветов бумажная 0,7см 250м корич  12332;рулон;1;Атрибутика;;
00008953;Лента на торт СЕРЕБРЯННАЯ (10м) 24192;шт.;4;Атрибутика;;
00009457;Проволока конд. №18 корич 20шт. 36см  43514;шт.;8;Атрибутика;;
00009407;Проволока конд. №20 зеленая  20шт. 36см 43508;шт.;1;Атрибутика;;
00726;Тычинки красные (пучок-50шт.) мелкие РМЕ т42;упак.;5;Атрибутика;;
00729;Тычинки перламутровые (пучок-50шт.) мелкие РМЕ т38;упак.;10;Атрибутика;;
00730;Тычинки перламутровые (пучок-50шт.) средние РМЕ т37;упак.;10;Атрибутика;;
00735;Тычинки розовые (пучок-50шт.) мелкие РМЕ т43;упак.;9;Атрибутика;;
00001158;Фигурка новорожденный h5см  31603;шт.;5;Атрибутика;;
00005784;Фигурка свадебная TG 660743;шт.;6;Атрибутика;;
00005014;Фигурка свадебная AY62691U-7   h26 d10 см c подсветкой Модерн;шт.;5;Атрибутика;;
00008056;Фигурка свадебная AY78085-4 Н25 d8см Модерн;шт.;10;Атрибутика;;
00008052;Фигурка свадебная AY78088-1 Н20 d7см Модерн;шт.;1;Атрибутика;;
00008055;Фигурка свадебная AY78092L-1 Н24 d12см с подсветк.;шт.;6;Атрибутика;;
00006763;Фигурка свадебная h25 d18 см пластик 1HYM07;шт.;9;Атрибутика;;
00006764;Фигурка свадебная h25 d8 см с подсв.AY78091L-1;шт.;10;Атрибутика;;
00006953;Фигурка свадебная MRH38385 фарфор h14d9см;шт.;5;Атрибутика;;
00008060;Фигурка свадебная MRH38392 d10см Фарфор;шт.;5;Атрибутика;;
00008059;Фигурка свадебная MRH38453 d9см Фарфор;шт.;5;Атрибутика;;
00008049;Фигурка свадебная MRH38469 фарфор h13d8см;шт.;7;Атрибутика;;
00008053;Фигурка свадебная Н22 d8см Пластик 1916300;шт.;8;Атрибутика;;
00669;Фигурка Свадебная пара 8х16х8 на кабриолете пластик 071679;шт.;1;Атрибутика;;
00004866;Фигурка свадебная SG013506 ГОЛУБИ;шт.;4;Атрибутика;;
00004860;Фигурка свадебная  ТG660420 пара ссердцем 31621;шт.;9;Атрибутика;;
00004861;Фигурка свадебная ТG660773 пара в белом 31623 14/6;шт.;2;Атрибутика;;
00001747;Диски белые Карибе;кг.;6;Шоколад;;
00008648;Диски темные Ariiba Fondente Dischi 57 (36/38);кг.;8;Шоколад;;
00003069;Диски шоколадные Карибе;кг.;6;Шоколад;;
00009220;Крошка декор.КАПУЧИНО глянцевая 3 кг;кг.;5;Шоколад;;
00007308;Какао алкализ. Малайзия;кг.;3;Какао;;
00001184;Какао алкализ Кот Д-Ивуар Сargill АМ 70;кг.;1;Какао;;
